Check the telescope 0
xid = 5, yid = 11, angle = 18.4858, solidangle = 7.90505e-323
xid = 5, yid = 12, angle = 18.2999, solidangle = 7.90505e-323
xid = 5, yid = 13, angle = 18.5163, solidangle = 7.90505e-323
xid = 5, yid = 14, angle = 23.0381, solidangle = 7.90505e-323
xid = 5, yid = 15, angle = 21.8362, solidangle = 7.90505e-323
xid = 6, yid = 0, angle = 19.6161, solidangle = 7.90505e-323
xid = 6, yid = 1, angle = 19.3258, solidangle = 7.90505e-323
xid = 6, yid = 2, angle = 20.3008, solidangle = 7.90505e-323
xid = 6, yid = 3, angle = 19.6868, solidangle = 7.90505e-323
xid = 6, yid = 4, angle = 18.713, solidangle = 7.90505e-323
xid = 6, yid = 5, angle = 18.1629, solidangle = 7.90505e-323
xid = 6, yid = 6, angle = 17.9133, solidangle = 7.90505e-323
xid = 6, yid = 7, angle = 18.4871, solidangle = 7.90505e-323
xid = 6, yid = 8, angle = 18.0421, solidangle = 7.90505e-323
xid = 6, yid = 9, angle = 19.1318, solidangle = 7.90505e-323
xid = 6, yid = 10, angle = 17.6857, solidangle = 7.90505e-323
xid = 6, yid = 11, angle = 17.43, solidangle = 7.90505e-323
xid = 6, yid = 12, angle = 16.278, solidangle = 7.90505e-323
xid = 6, yid = 13, angle = 20.8357, solidangle = 7.90505e-323
xid = 6, yid = 14, angle = 19.9971, solidangle = 7.90505e-323
xid = 6, yid = 15, angle = 20.6376, solidangle = 7.90505e-323
xid = 7, yid = 0, angle = 16.5119, solidangle = 7.90505e-323
xid = 7, yid = 1, angle = 18.7862, solidangle = 7.90505e-323
xid = 7, yid = 2, angle = 16.2737, solidangle = 7.90505e-323
xid = 7, yid = 3, angle = 14.4531, solidangle = 7.90505e-323
xid = 7, yid = 4, angle = 17.7101, solidangle = 7.90505e-323
xid = 7, yid = 5, angle = 18.6883, solidangle = 7.90505e-323
xid = 7, yid = 6, angle = 18.6789, solidangle = 7.90505e-323
xid = 7, yid = 7, angle = 15.2107, solidangle = 7.90505e-323
xid = 7, yid = 8, angle = 15.2088, solidangle = 7.90505e-323
xid = 7, yid = 9, angle = 16.7531, solidangle = 7.90505e-323
xid = 7, yid = 10, angle = 18.1687, solidangle = 7.90505e-323
xid = 7, yid = 11, angle = 16.9301, solidangle = 7.90505e-323
xid = 7, yid = 12, angle = 17.2252, solidangle = 7.90505e-323
xid = 7, yid = 13, angle = 19.1633, solidangle = 7.90505e-323
xid = 7, yid = 14, angle = 18.4575, solidangle = 7.90505e-323
xid = 7, yid = 15, angle = 17.5802, solidangle = 7.90505e-323
xid = 8, yid = 0, angle = 14.8373, solidangle = 7.90505e-323
xid = 8, yid = 1, angle = 17.745, solidangle = 7.90505e-323
xid = 8, yid = 2, angle = 17.5834, solidangle = 7.90505e-323
xid = 8, yid = 3, angle = 16.3542, solidangle = 7.90505e-323
xid = 8, yid = 4, angle = 16.2433, solidangle = 7.90505e-323
xid = 8, yid = 5, angle = 15.5112, solidangle = 7.90505e-323
xid = 8, yid = 6, angle = 15.1197, solidangle = 7.90505e-323
xid = 8, yid = 7, angle = 14.4209, solidangle = 7.90505e-323
xid = 8, yid = 8, angle = 17.9462, solidangle = 7.90505e-323
xid = 8, yid = 9, angle = 14.7399, solidangle = 7.90505e-323
xid = 8, yid = 10, angle = 15.5438, solidangle = 7.90505e-323
xid = 8, yid = 11, angle = 18.0295, solidangle = 7.90505e-323
xid = 8, yid = 12, angle = 14.9804, solidangle = 7.90505e-323
xid = 8, yid = 13, angle = 15.1744, solidangle = 7.90505e-323
xid = 8, yid = 14, angle = 16.0485, solidangle = 7.90505e-323
xid = 8, yid = 15, angle = 18.9819, solidangle = 7.90505e-323
xid = 9, yid = 0, angle = 16.4107, solidangle = 7.90505e-323
xid = 9, yid = 1, angle = 17.5286, solidangle = 7.90505e-323
xid = 9, yid = 2, angle = 15.187, solidangle = 7.90505e-323
xid = 9, yid = 3, angle = 18.2169, solidangle = 7.90505e-323
xid = 9, yid = 4, angle = 16.5497, solidangle = 7.90505e-323
xid = 9, yid = 5, angle = 16.7859, solidangle = 7.90505e-323
xid = 9, yid = 6, angle = 13.3379, solidangle = 7.90505e-323
xid = 9, yid = 7, angle = 14.9976, solidangle = 7.90505e-323
xid = 9, yid = 8, angle = 16.6207, solidangle = 7.90505e-323
xid = 9, yid = 9, angle = 17.1697, solidangle = 7.90505e-323
xid = 9, yid = 10, angle = 14.318, solidangle = 7.90505e-323
xid = 9, yid = 11, angle = 17.7135, solidangle = 7.90505e-323
xid = 9, yid = 12, angle = 12.4238, solidangle = 7.90505e-323
xid = 9, yid = 13, angle = 15.8141, solidangle = 7.90505e-323
xid = 9, yid = 14, angle = 15.5518, solidangle = 7.90505e-323
xid = 9, yid = 15, angle = 15.3238, solidangle = 7.90505e-323
xid = 10, yid = 0, angle = 14.4102, solidangle = 7.90505e-323
xid = 10, yid = 1, angle = 17.1331, solidangle = 7.90505e-323
xid = 10, yid = 2, angle = 15.8561, solidangle = 7.90505e-323
xid = 10, yid = 3, angle = 16.9605, solidangle = 7.90505e-323
xid = 10, yid = 4, angle = 14.3632, solidangle = 7.90505e-323
xid = 10, yid = 5, angle = 16.0963, solidangle = 7.90505e-323
xid = 10, yid = 6, angle = 15.3891, solidangle = 7.90505e-323
xid = 10, yid = 7, angle = 14.7, solidangle = 7.90505e-323
xid = 10, yid = 8, angle = 14.8491, solidangle = 7.90505e-323
xid = 10, yid = 9, angle = 15.0498, solidangle = 7.90505e-323
xid = 10, yid = 10, angle = 10.1992, solidangle = 7.90505e-323
xid = 10, yid = 11, angle = 15.4624, solidangle = 7.90505e-323
xid = 10, yid = 12, angle = 16.254, solidangle = 7.90505e-323
xid = 10, yid = 13, angle = 14.2381, solidangle = 7.90505e-323
xid = 10, yid = 14, angle = 15.3819, solidangle = 7.90505e-323
xid = 10, yid = 15, angle = 13.793, solidangle = 7.90505e-323
xid = 11, yid = 0, angle = 14.9563, solidangle = 7.90505e-323
xid = 11, yid = 1, angle = 15.4241, solidangle = 7.90505e-323
xid = 11, yid = 2, angle = 13.7261, solidangle = 7.90505e-323
xid = 11, yid = 3, angle = 12.907, solidangle = 7.90505e-323
xid = 11, yid = 4, angle = 14.0394, solidangle = 7.90505e-323
xid = 11, yid = 5, angle = 11.9, solidangle = 7.90505e-323
xid = 11, yid = 6, angle = 11.8717, solidangle = 7.90505e-323
xid = 11, yid = 7, angle = 11.4766, solidangle = 7.90505e-323
