# prm/ssd/tel1/ch2MeV_dEX.dat is created from AlphaCalibration.C
# offset gain
0.0627407 0.00399536
0.156792 0.00429377
0.136575 0.00402025
0.186566 0.00405302
0.191933 0.00395189
0.149831 0.00406022
0.170186 0.00403183
0.200574 0.00401686
0.111732 0.00404574
0.09503 0.00403545
0.146245 0.00417011
0.129707 0.00401382
0.165831 0.00409271
0.165075 0.00395626
0.170163 0.00410655
0.0874697 0.00414394
