/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch0
358.394 3.148  0.261652
557.75 5.462  0.268319
584.677 5.771  0.322912
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch1
354.339 3.148  0.223558
552.623 5.462  0.264268
579.543 5.771  0.310176
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch2
418.136 3.148  0.275008
641.008 5.462  0.237894
670.919 5.771  0.346037
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch3
354.475 3.148  0.294238
546.55 5.462  0.241609
572.478 5.771  0.363649
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch4
383.86 3.148  0.260303
594.824 5.462  0.310614
624.417 5.771  0.377515
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch5
381.42 3.148  0.244083
582.72 5.462  0.26221
609.853 5.771  0.312415
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch7
414.552 3.148  0.245556
633.353 5.462  0.271396
663 5.771  0.371518
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch8
367.657 3.148  0.274709
577.404 5.462  0.255649
605.899 5.771  0.335785
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch9
359.142 3.148  0.228077
565.197 5.462  0.258106
593.574 5.771  0.364279
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch10
328.63 3.148  0.276709
538.248 5.462  0.249191
566.885 5.771  0.359427
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch11
373.17 3.148  0.256087
578.396 5.462  0.251853
606.987 5.771  0.318644
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch12
370.753 3.148  0.321158
588.515 5.462  0.284817
619.182 5.771  0.307625
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch13
372.329 3.148  0.279233
579.027 5.462  0.306762
607.575 5.771  0.304113
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch14
373.218 3.148  0.278277
578.048 5.462  0.254813
605.2 5.771  0.395577
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel2/dEYch15
345.364 3.148  0.303632
553.884 5.462  0.259385
582.573 5.771  0.363344
