# prm/ssd/tel5/ch2MeV_dEY.dat is created from AlphaCalibration.C
# offset gain
0.266339 0.00170905
0.272741 0.00165837
0.27707 0.00162995
0.265454 0.00163431
0.254607 0.00170915
0.274269 0.00163199
0.259068 0.00165513
0.260903 0.00166069
0.259379 0.00160945
0.248908 0.0016734
0.256421 0.00167988
0.253509 0.00160324
0.237079 0.00169963
0.243003 0.00164232
0.220966 0.00167322
0.213963 0.00168686
