/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch0
1686.28 3.148  1.8117
3037.32 5.462  2.59711
3222.56 5.771  2.15162
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch1
1734.36 3.148  2.88574
3125 5.462  2.64743
3317.18 5.771  1.81796
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch2
1761.75 3.148  1.82842
3175.13 5.462  2.42913
3373.16 5.771  1.69975
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch3
1764.13 3.148  2.30024
3175.46 5.462  2.71741
3370.58 5.771  1.91978
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch4
1692.94 3.148  1.63638
3046.26 5.462  1.78725
3231.42 5.771  5.19912
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch5
1762.07 3.148  3.33449
3175.09 5.462  2.00884
3371.06 5.771  1.91417
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch6
1745.57 3.148  1.75836
3140.6 5.462  2.83518
3332.13 5.771  2.45944
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch7
1738.55 3.148  1.75603
3131.61 5.462  1.21146
3318.44 5.771  1.73172
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch8
1795.45 3.148  4.4599
3230.65 5.462  2.59183
3428.51 5.771  3.98071
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch9
1732.65 3.148  2.25564
3113.52 5.462  2.28395
3306.67 5.771  4.78663
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch10
1721.28 3.148  3.15005
3098.88 5.462  2.76832
3282.52 5.771  4.08307
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch11
1805.47 3.148  1.76635
3248.03 5.462  1.91916
3443.89 5.771  3.81069
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch12
1713.05 3.148  1.9395
3072.1 5.462  1.56763
3262.79 5.771  3.04404
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch13
1768.88 3.148  1.96257
3177.49 5.462  1.93035
3367.58 5.771  4.49837
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch14
1749.56 3.148  2.25986
3131.42 5.462  1.56074
3321.77 5.771  3.88225
/home/zq/art_analysis/he6p2024/he6p2024/figure/calib/tel5/dEYch15
1742.1 3.148  4.12127
3106.68 5.462  1.80159
3298.92 5.771  1.94973
